Field Path,Field Name,Data Type,Required,Description,Example Value,Used In APIs,Notes
message.catalogs[].beckn:items[].beckn:category.\@type,Category Type,String,Yes,JSON-LD type of category,schema:CategoryCode,"catalog_publish, on_discover",Always schema:CategoryCode
message.catalogs[].beckn:items[].beckn:category.schema:codeValue,Code Value,String,Yes,Category code,ev-charging,"catalog_publish, on_discover",Standard category code
message.catalogs[].beckn:items[].beckn:category.schema:name,Category Name,String,Yes,Human-readable category name,EV Charging,"catalog_publish, on_discover",Display name for category
message.catalogs[].beckn:items[].beckn:availabilityWindow,Availability Window,Array[Object],No,Operating time periods (array of TimePeriod),[{schema:startTime schema:endTime}],"catalog_publish, on_discover",Array format; each entry is a TimePeriod object. Used in discover filter with JSONPath
message.catalogs[].beckn:items[].beckn:availabilityWindow[].\@type,TimePeriod Type,String,Yes,Type identifier,beckn:TimePeriod,"catalog_publish, on_discover",Always beckn:TimePeriod
message.catalogs[].beckn:items[].beckn:availabilityWindow[].schema:startTime,Start Time,DateTime,Yes,Availability start datetime,2026-01-04T08:00:00Z,"catalog_publish, on_discover",ISO 8601 format (full datetime in current schemas)
message.catalogs[].beckn:items[].beckn:availabilityWindow[].schema:endTime,End Time,DateTime,Yes,Availability end datetime,2026-01-04T20:00:00Z,"catalog_publish, on_discover",ISO 8601 format (full datetime in current schemas)
message.catalogs[].beckn:items[].beckn:rateable,Rateable,Boolean,Yes,Whether item can be rated,true,"catalog_publish, on_discover",Allows customer ratings
message.catalogs[].beckn:items[].beckn:rating,Rating,Object,No,Rating information,{beckn:ratingValue: 4.5 beckn:ratingCount: 128},"catalog_publish, on_discover",Aggregate rating data
message.catalogs[].beckn:items[].beckn:rating.\@type,Rating Type,String,Yes,JSON-LD type,beckn:Rating,"catalog_publish, on_discover",Always beckn:Rating
message.catalogs[].beckn:items[].beckn:rating.beckn:ratingValue,Rating Value,Number,Yes,Average rating score,4.5,"catalog_publish, on_discover",Usually 0-5 scale
message.catalogs[].beckn:items[].beckn:rating.beckn:ratingCount,Rating Count,Integer,Yes,Number of ratings,128,"catalog_publish, on_discover",Total ratings received
message.catalogs[].beckn:items[].beckn:isActive,Is Active,Boolean,Yes,Whether item is currently active,true,"catalog_publish, on_discover",Active status
message.catalogs[].beckn:items[].beckn:provider,Provider,Object,Yes,Provider information,{beckn:id beckn:descriptor},"catalog_publish, on_discover",Charging station operator reference
message.catalogs[].beckn:items[].beckn:provider.beckn:id,Provider ID,String,Yes,Provider identifier,ecopower-charging,"catalog_publish, on_discover",Unique provider ID; matches beckn:seller in order
message.catalogs[].beckn:items[].beckn:provider.beckn:descriptor,Provider Descriptor,Object,Yes,Provider details,{schema:name: EcoPower Charging Pvt Ltd},"catalog_publish, on_discover",Provider name and info
message.catalogs[].beckn:items[].beckn:provider.beckn:descriptor.\@type,Provider Descriptor Type,String,Yes,Type of descriptor,beckn:Descriptor,"catalog_publish, on_discover",Always beckn:Descriptor
message.catalogs[].beckn:items[].beckn:provider.beckn:descriptor.schema:name,Provider Name,String,Yes,Display name of provider,EcoPower Charging Pvt Ltd,"catalog_publish, on_discover",Provider name shown to users
message.catalogs[].beckn:items[].beckn:itemAttributes,Item Attributes,Object,Yes,EV charging-specific attributes,{@type: ChargingService...},"catalog_publish, on_discover",ChargingService schema extension
message.catalogs[].beckn:items[].beckn:itemAttributes.\@context,Context,URL,Yes,ChargingService schema context,https://raw.githubusercontent.com/.../EvChargingService/v1/context.jsonld,"catalog_publish, on_discover",Schema reference for EvChargingService
message.catalogs[].beckn:items[].beckn:itemAttributes.\@type,Type,String,Yes,Type identifier,ChargingService,"catalog_publish, on_discover",Always ChargingService
message.catalogs[].beckn:items[].beckn:itemAttributes.connectorType,Connector Type,String,Yes,Charging connector type,"CCS2, CHAdeMO, Type2, GBT","catalog_publish, on_discover",Standard connector types
message.catalogs[].beckn:items[].beckn:itemAttributes.maxPowerKW,Max Power (kW),Number,Yes,Maximum charging power in kilowatts,60,"catalog_publish, on_discover",Peak power in kilowatts; used in discover filter
message.catalogs[].beckn:items[].beckn:itemAttributes.minPowerKW,Min Power (kW),Number,No,Minimum charging power in kilowatts,5,"catalog_publish, on_discover",Minimum power in kilowatts
message.catalogs[].beckn:items[].beckn:itemAttributes.reservationSupported,Reservation Supported,Boolean,Yes,Whether advance reservations are allowed,true,"catalog_publish, on_discover",Advance booking capability
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation,Charging Station,Object,Yes,Physical charging station details,{id serviceLocation},"catalog_publish, on_discover",Station metadata
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.id,Station ID,String,Yes,Unique station identifier,IN-ECO-BTM-STATION-01,"catalog_publish, on_discover",Physical station reference
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation,Service Location,Object,Yes,Station location details,{@type: beckn:Location geo address},"catalog_publish, on_discover",Where station is located; used as geo target in discover spatial filter
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.\@type,Location Type,String,Yes,JSON-LD type,beckn:Location,"catalog_publish, on_discover",Always beckn:Location
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.geo,Geo Location,Object,Yes,GeoJSON location object,{type: Point coordinates: [77.5946 12.9716]},"catalog_publish, on_discover",GeoJSON format
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.geo.type,Geometry Type,String,Yes,GeoJSON geometry type,Point,"catalog_publish, on_discover",Usually Point for stations
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.geo.coordinates,Coordinates,Array[Number],Yes,Longitude and latitude,"[77.5946, 12.9716]","catalog_publish, on_discover","[longitude, latitude]"
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.address,Address,Object,Yes,Postal address,{streetAddress addressLocality...},"catalog_publish, on_discover",Full postal address
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.address.streetAddress,Street Address,String,Yes,Street address,"EcoPower BTM Hub, 100 Ft Rd","catalog_publish, on_discover",Street and building info
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.address.addressLocality,City/Locality,String,Yes,City or locality,Bengaluru,"catalog_publish, on_discover",City name
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.address.addressRegion,State/Region,String,Yes,State or region,Karnataka,"catalog_publish, on_discover",State/province name
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.address.postalCode,Postal Code,String,Yes,ZIP/postal code,560076,"catalog_publish, on_discover",Postal code
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingStation.serviceLocation.address.addressCountry,Country,String,Yes,Country code,IN,"catalog_publish, on_discover",ISO 3166-1 alpha-2
message.catalogs[].beckn:items[].beckn:itemAttributes.amenityFeature,Amenity Features,Array[String],No,Available amenities at station,"[RESTAURANT, RESTROOM, WI-FI]","catalog_publish, on_discover",Facilities at location
message.catalogs[].beckn:items[].beckn:itemAttributes.evseId,EVSE ID,String,No,Electric Vehicle Supply Equipment ID,IN*ECO*BTM*01*CCS2*A,"catalog_publish, on_discover",EMSP/OCPI format
message.catalogs[].beckn:items[].beckn:itemAttributes.qrIdentifier,QR Identifier,String,No,QR code value for identifying connector,https://charge.ecopower.in/cs01-ccs2,"catalog_publish, on_discover",Used in discover filter to find by QR scan
message.catalogs[].beckn:items[].beckn:itemAttributes.parkingType,Parking Type,String,No,Type of parking location,"Mall, Street, Highway, Office, OffStreet","catalog_publish, on_discover",Parking category
message.catalogs[].beckn:items[].beckn:itemAttributes.powerType,Power Type,String,Yes,AC or DC power,"AC, DC, AC_3_PHASE","catalog_publish, on_discover",Type of electrical power
message.catalogs[].beckn:items[].beckn:itemAttributes.connectorFormat,Connector Format,String,Yes,Socket or cable,"SOCKET, CABLE","catalog_publish, on_discover",Physical connector format
message.catalogs[].beckn:items[].beckn:itemAttributes.chargingSpeed,Charging Speed,String,Yes,Speed classification,"SLOW, NORMAL, FAST, ULTRAFAST","catalog_publish, on_discover",Charging speed category; note ULTRAFAST (not ULTRA_FAST) in schemas
message.catalogs[].beckn:items[].beckn:itemAttributes.vehicleType,Vehicle Type,String,No,Supported vehicle type,"2-WHEELER, 3-WHEELER, 4-WHEELER","catalog_publish, on_discover",Vehicle compatibility; used in discover filter
message.catalogs[].beckn:offers,Offers,Array[Object],Yes,Pricing offers from CPO,[{@type: beckn:Offer...}],"catalog_publish, on_discover",Available pricing plans for items in this catalog
message.catalogs[].beckn:offers[].\@context,Offer Context,URL,Yes,JSON-LD context for offer,https://raw.githubusercontent.com/.../core/v2/context.jsonld,"catalog_publish, on_discover",Schema reference
message.catalogs[].beckn:offers[].\@type,Offer Type,String,Yes,JSON-LD type,beckn:Offer,"catalog_publish, on_discover",Always beckn:Offer
message.catalogs[].beckn:offers[].beckn:id,Offer ID,String,Yes,Unique offer identifier,offer-ccs2-60kw-kwh,"catalog_publish, on_discover",Offer reference ID used in orderItems.beckn:acceptedOffer
message.catalogs[].beckn:offers[].beckn:descriptor,Offer Descriptor,Object,Yes,Offer description,{schema:name: Per-kWh Tariff - CCS2 60kW},"catalog_publish, on_discover",Human-readable offer info
message.catalogs[].beckn:offers[].beckn:descriptor.\@type,Descriptor Type,String,Yes,Type of descriptor,beckn:Descriptor,"catalog_publish, on_discover",Always beckn:Descriptor
message.catalogs[].beckn:offers[].beckn:descriptor.schema:name,Offer Name,String,Yes,Display name of offer,Per-kWh Tariff - CCS2 60kW,"catalog_publish, on_discover",Offer name shown to users
message.catalogs[].beckn:offers[].beckn:items,Offer Applicable Items,Array[String],Yes,Item IDs this offer applies to,[IND*ecopower-charging*cs-01*...],"catalog_publish, on_discover",References to beckn:Item IDs (string references not objects)
message.catalogs[].beckn:offers[].beckn:price,Price,Object,Yes,Offer pricing details,{currency: INR value: 45.0 applicableQuantity: {...}},"catalog_publish, on_discover",Price structure (different from old CSV - no @type or schema: prefix)
message.catalogs[].beckn:offers[].beckn:price.currency,Currency,String,Yes,Currency code,INR,"catalog_publish, on_discover",ISO 4217 currency code
message.catalogs[].beckn:offers[].beckn:price.value,Price Value,Number,Yes,Unit price,45.0,"catalog_publish, on_discover",Price per unit
message.catalogs[].beckn:offers[].beckn:price.applicableQuantity,Applicable Quantity,Object,Yes,Quantity this price applies to,{unitText: Kilowatt Hour unitCode: KWH unitQuantity: 1},"catalog_publish, on_discover",Unit definition for pricing
message.catalogs[].beckn:offers[].beckn:price.applicableQuantity.unitText,Unit Text,String,Yes,Human-readable unit name,Kilowatt Hour,"catalog_publish, on_discover",Display name for unit
message.catalogs[].beckn:offers[].beckn:price.applicableQuantity.unitCode,Unit Code,String,Yes,Unit of measurement code,KWH,"catalog_publish, on_discover",UN/CEFACT unit codes
message.catalogs[].beckn:offers[].beckn:price.applicableQuantity.unitQuantity,Unit Quantity,Number,Yes,Quantity per price unit,1,"catalog_publish, on_discover",e.g. 1 KWH per price point
message.catalogs[].beckn:offers[].beckn:validity,Validity Period,Object,No,Time period for offer validity,{schema:startDate schema:endDate},"catalog_publish, on_discover",When this offer is valid
message.catalogs[].beckn:offers[].beckn:validity.\@type,Validity Type,String,Yes,JSON-LD type,beckn:TimePeriod,"catalog_publish, on_discover",Always beckn:TimePeriod
message.catalogs[].beckn:offers[].beckn:validity.schema:startDate,Start Date,DateTime,Yes,Offer validity start,2025-10-01T00:00:00Z,"catalog_publish, on_discover",ISO 8601 format
message.catalogs[].beckn:offers[].beckn:validity.schema:endDate,End Date,DateTime,Yes,Offer validity end,2026-03-31T23:59:59Z,"catalog_publish, on_discover",ISO 8601 format
message.catalogs[].beckn:offers[].beckn:acceptedPaymentMethod,Accepted Payment Methods,Array[String],Yes,Payment types accepted,"[UPI, CREDIT_CARD, WALLET]","catalog_publish, on_discover","Supported payment methods (plain strings, not schema: prefixed)"
message.catalogs[].beckn:offers[].beckn:offerAttributes,Offer Attributes,Object,Yes,EV charging-specific offer details,{@type: ChargingOffer tariffModel: PER_KWH},"catalog_publish, on_discover",ChargingOffer schema extension
message.catalogs[].beckn:offers[].beckn:offerAttributes.\@context,Context,URL,Yes,ChargingOffer schema context,https://raw.githubusercontent.com/.../EvChargingOffer/v1/context.jsonld,"catalog_publish, on_discover",Schema reference for EvChargingOffer
message.catalogs[].beckn:offers[].beckn:offerAttributes.\@type,Type,String,Yes,Type identifier,ChargingOffer,"catalog_publish, on_discover",Always ChargingOffer
message.catalogs[].beckn:offers[].beckn:offerAttributes.tariffModel,Tariff Model,String,Yes,Pricing model type,"PER_KWH, PER_MINUTE, FLAT","catalog_publish, on_discover",How charging cost is calculated
message.catalogs[].beckn:offers[].beckn:offerAttributes.idleFeePolicy,Idle Fee Policy,Object,No,Fee for idle time after charging,{currency: INR value: 2 applicableQuantity: {...}},"catalog_publish, on_discover",Penalty for not unplugging after charging completes
message.catalogs[].beckn:offers[].beckn:offerAttributes.idleFeePolicy.currency,Idle Fee Currency,String,Yes,Currency code for idle fee,INR,"catalog_publish, on_discover",ISO 4217 currency code
message.catalogs[].beckn:offers[].beckn:offerAttributes.idleFeePolicy.value,Idle Fee Value,Number,Yes,Amount of idle fee,2,"catalog_publish, on_discover",Fee amount per unit time
message.catalogs[].beckn:offers[].beckn:offerAttributes.idleFeePolicy.applicableQuantity,Idle Fee Applicable Quantity,Object,Yes,Time unit for idle fee,{unitCode: MIN unitText: minutes unitQuantity: 10},"catalog_publish, on_discover",e.g. 2 INR per 10 minutes idle
message.catalogs[].beckn:offers[].beckn:offerAttributes.idleFeePolicy.applicableQuantity.unitCode,Unit Code,String,Yes,Unit code for time,MIN,"catalog_publish, on_discover",UN/CEFACT time unit code
message.catalogs[].beckn:offers[].beckn:offerAttributes.idleFeePolicy.applicableQuantity.unitText,Unit Text,String,Yes,Human-readable time unit,minutes,"catalog_publish, on_discover",Display name for time unit
message.catalogs[].beckn:offers[].beckn:offerAttributes.idleFeePolicy.applicableQuantity.unitQuantity,Unit Quantity,Number,Yes,Number of time units per fee,10,"catalog_publish, on_discover",Idle fee charged every N minutes
message.catalogs[].beckn:offers[].beckn:provider,Provider Reference,String,Yes,Provider ID this offer belongs to,ecopower-charging,"catalog_publish, on_discover",References provider ID (string not object in offers)
message.order,Order,Object,Yes,Order details,{@type: beckn:Order...},"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Complete order information
message.order.\@context,Order Context,URL,Yes,JSON-LD context for order,https://raw.githubusercontent.com/.../core/v2/context.jsonld,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Schema reference
message.order.\@type,Order Type,String,Yes,JSON-LD type,beckn:Order,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Always beckn:Order
message.order.beckn:id,Order ID,String,Yes,Unique order identifier,order-ev-charging-001,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_status, on_track, on_update, status, track, update",BAP-assigned in init; absent in select/on_select
message.order.beckn:orderStatus,Order Status,String,Yes,Current order status,"CREATED, PENDING, REJECTED, CONFIRMED, INPROGRESS, COMPLETED, CANCELLED","cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Order lifecycle status; PENDING appears in on_status/confirm after payment; INPROGRESS once charging is ACTIVE
message.order.beckn:seller,Seller,String,Yes,Provider ID of seller,ecopower-charging,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",References provider identifier; matches provider in catalog; echoed throughout the order lifecycle
message.order.beckn:buyer,Buyer,Object,Yes,Buyer information,{@type: beckn:Buyer...},"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Customer details
message.order.beckn:buyer.\@context,Buyer Context,URL,Yes,JSON-LD context for buyer,https://raw.githubusercontent.com/.../core/v2/context.jsonld,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Schema reference
message.order.beckn:buyer.\@type,Buyer Type,String,Yes,JSON-LD type,beckn:Buyer,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Always beckn:Buyer
message.order.beckn:buyer.beckn:id,Buyer ID,String,Yes,Buyer identifier,user-123,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Unique user/BAP-assigned buyer ID
message.order.beckn:buyer.beckn:role,Buyer Role,String,Yes,Role of buyer,BUYER,"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, select, status, update",Always BUYER in standard flows
message.order.beckn:buyer.beckn:displayName,Display Name,String,Yes,Buyer's display name,Ravi Kumar,"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, select, status, update",Full name of buyer
message.order.beckn:buyer.beckn:telephone,Phone,String,Yes,Buyer's phone number,+91-9876543210,"confirm, init, on_confirm, on_init, on_select, on_status, on_update, select, status, update",Contact phone with country code
message.order.beckn:buyer.beckn:email,Email,String,Yes,Buyer's email address,ravi.kumar@example.com,"confirm, init, on_confirm, on_init, on_select, on_status, on_update, select, status, update",Contact email
message.order.beckn:buyer.beckn:taxID,Tax ID,String,No,Tax identification number,GSTIN29ABCDE1234F1Z5,"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, select, status, update",GST/VAT number
message.order.beckn:buyer.beckn:buyerAttributes,Buyer Attributes,Object,No,Buyer payment-specific attributes,{@type: BuyerUPI vpa: ravikumar@upi},"cancel, confirm, init, on_cancel, on_confirm, on_init, on_status, on_track, on_update, status, track, update",Only present in BPP-bound init and BPP on_init response
message.order.beckn:buyer.beckn:buyerAttributes.\@context,Context,URL,Yes,BuyerUPI context,https://raw.githubusercontent.com/bhim/ubc-tsd/main/beckn-schemas/UBCExtensions/v1/context.jsonld,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_status, on_track, on_update, status, track, update",Schema reference for UBC buyer attributes
message.order.beckn:buyer.beckn:buyerAttributes.\@type,Type,String,Yes,Type identifier,BuyerUPI,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_status, on_track, on_update, status, track, update",Always BuyerUPI for UPI-based payment flows
message.order.beckn:buyer.beckn:buyerAttributes.vpa,VPA,String,Yes,Virtual Payment Address for refunds,ravikumar@upi,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_status, on_track, on_update, status, track, update",UPI VPA used for refund settlement to buyer
message.order.beckn:orderItems,Order Items,Array[Object],Yes,Items being ordered,[{beckn:orderedItem beckn:quantity...}],"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Selected charging connector; in status/update/track/cancel only beckn:orderedItem is required (no quantity/price)
